avearge_WindSpeed_prediction,avearge_WindDirectionCos_prediction,avearge_WindDirectionSin_prediction,da_AirTemperature_prediction,da_AirHumidity_prediction,da_AirPressure_prediction,real_WindPower
0.33324937,0.834565303,0.108994433,0.093023256,0.642857143,0,0.302447491
0.325188917,0.828029515,0.103081061,0.093023256,0.642857143,0,0.304804993
0.33324937,0.828029515,0.103081061,0.093023256,0.642857143,0,0.394889984
0.349748111,0.828029515,0.103081061,0.093023256,0.642857143,0,0.321587486
0.349748111,0.821393805,0.097285239,0.093023256,0.642857143,0,0.340717507
0.357808564,0.821393805,0.097285239,0.093023256,0.642857143,0,0.294932499
0.365869018,0.821393805,0.097285239,0.093023256,0.642857143,0,0.249427242
0.373929471,0.814660196,0.091608733,0.069767442,0.714285714,0,0.259960003
0.390302267,0.814660196,0.091608733,0.069767442,0.714285714,0,0.287469998
0.398236776,0.814660196,0.091608733,0.069767442,0.714285714,0,0.294720001
0.406423174,0.821393805,0.097285239,0.069767442,0.714285714,0,0.273512497
0.42279597,0.821393805,0.097285239,0.069767442,0.642857143,0,0.277772503
0.430982368,0.821393805,0.097285239,0.069767442,0.642857143,0,0.331945
0.447103275,0.828029515,0.103081061,0.069767442,0.642857143,0,0.33949501
0.447103275,0.834565303,0.108994433,0.069767442,0.642857143,0,0.384357491
0.447103275,0.84099918,0.115023553,0.093023256,0.571428571,0,0.46757
0.447103275,0.847329185,0.121166585,0.093023256,0.571428571,0,0.592319985
0.439042821,0.847329185,0.121166585,0.093023256,0.571428571,0,0.592980003
0.430982368,0.8596699,0.133786868,0.093023256,0.571428571,0,0.542897492
0.42279597,0.8596699,0.133786868,0.069767442,0.642857143,0.166666667,0.568672485
0.414609572,0.865676851,0.140260273,0.069767442,0.642857143,0.166666667,0.540927506
0.406423174,0.87735479,0.153523754,0.069767442,0.642857143,0.166666667,0.503827515
0.398236776,0.87735479,0.153523754,0.069767442,0.642857143,0.166666667,0.494480018
0.390302267,0.883022222,0.160309789,0.069767442,0.642857143,0.166666667,0.450665016
0.390302267,0.888572981,0.167195942,0.069767442,0.642857143,0.166666667,0.428587494
0.373929471,0.894005377,0.174180115,0.069767442,0.642857143,0.166666667,0.378602486
